"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"99",0.3,0.01,1,2,10.3,100,1.4e+06,400,20,8000,4e+04,0.2,345.57861694792,TRUE,346.686056142457,797.363765260447,1.1074391945362
"100",0.1,0.01,2,2,8.5,100,1.4e+06,400,20,8000,4e+04,0.2,374.622022802844,TRUE,375.908841502807,882.680955480467,1.28681869996331
"101",0.2,0.01,1,2,10.5,100,1.4e+06,400,20,8000,4e+04,0.2,349.981820679728,TRUE,351.191422651831,826.340960104323,1.20960197210309
"102",0.3,0.01,1,2,7.7,100,1.4e+06,400,20,8000,4e+04,0.2,364.565965112649,TRUE,365.752017022984,825.097575026918,1.18605191033492
"103",0.1,0.01,1,2,7.6,100,1.4e+06,400,20,8000,4e+04,0.2,389.237682319423,TRUE,390.572912927411,946.69235564056,1.33523060798797
"104",0.2,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,357.944862614953,TRUE,359.159616928195,838.321129065223,1.21475431324239
"105",0.3,0.01,1,2,9.2,100,1.4e+06,400,20,8000,4e+04,0.2,322.072337692579,TRUE,323.049421977152,738.117460167867,0.977084284572982
"106",0.1,0.01,1,2,11.8,100,1.4e+06,400,20,8000,4e+04,0.2,347.571139423158,TRUE,348.788164250062,810.486142600265,1.21702482690353
"107",0.2,0.01,1,2,9.5,100,1.4e+06,400,20,8000,4e+04,0.2,338.93938350456,TRUE,340.116663427185,782.920730896181,1.17727992262422
"108",0.3,0.01,1,2,7.6,100,1.4e+06,400,20,8000,4e+04,0.2,389.909536984691,TRUE,391.191480063342,886.337940498081,1.28194307865044
"109",0.1,0.01,1,2,9.8,100,1.4e+06,400,20,8000,4e+04,0.2,363.159930785483,TRUE,364.364682107594,858.404123659329,1.20475132211067
"110",0.2,0.01,1,2,8.3,100,1.4e+06,400,20,8000,4e+04,0.2,369.734550710721,TRUE,370.975550922134,879.338321158085,1.24100021141362
"111",0.3,0.01,1,2,8.8,100,1.4e+06,400,20,8000,4e+04,0.2,373.442679715303,TRUE,374.729985108344,850.345973534359,1.28730539304092
"112",0.1,0.01,1,2,10.9,100,1.4e+06,400,20,8000,4e+04,0.2,357.048472574866,TRUE,358.15374587949,815.209824092118,1.10527330462423
